Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,HBSS_1 Spectral Count,HBSS_2 Spectral Count,HBSS_3 Spectral Count,HBSS_BafA1_1 Spectral Count,HBSS_BafA1_2 Spectral Count,HBSS_BafA1_3 Spectral Count,HBSS_1 Unique Spectral Count,HBSS_2 Unique Spectral Count,HBSS_3 Unique Spectral Count,HBSS_BafA1_1 Unique Spectral Count,HBSS_BafA1_2 Unique Spectral Count,HBSS_BafA1_3 Unique Spectral Count,HBSS_1 Total Spectral Count,HBSS_2 Total Spectral Count,HBSS_3 Total Spectral Count,HBSS_BafA1_1 Total Spectral Count,HBSS_BafA1_2 Total Spectral Count,HBSS_BafA1_3 Total Spectral Count,HBSS_1 Intensity,HBSS_2 Intensity,HBSS_3 Intensity,HBSS_BafA1_1 Intensity,HBSS_BafA1_2 Intensity,HBSS_BafA1_3 Intensity,HBSS_1 MaxLFQ Intensity,HBSS_2 MaxLFQ Intensity,HBSS_3 MaxLFQ Intensity,HBSS_BafA1_1 MaxLFQ Intensity,HBSS_BafA1_2 MaxLFQ Intensity,HBSS_BafA1_3 MaxLFQ Intensity,Indistinguishable Proteins
sp|O75937|DNJC8_HUMAN,O75937,DNJC8_HUMAN,DNAJC8,253,Homo sapiens OX=9606,1:Experimental evidence at protein level,DnaJ homolog subfamily C member 8,1,0.999,4,20,20,20,3,4,3,3,3,4,3,4,3,3,3,4,3,4,3,3,3,4,2.04E+08,2.14E+08,1.96E+08,1.85E+08,1.98E+08,2.00E+08,7.67E+07,8.07E+07,7.41E+07,8.09E+07,7.58E+07,7.64E+07,
sp|O75940|SPF30_HUMAN,O75940,SPF30_HUMAN,SMNDC1,238,Homo sapiens OX=9606,1:Experimental evidence at protein level,Survival of motor neuron-related-splicing factor 30,1,0.999,5,29,29,29,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,1.59E+08,1.67E+08,1.66E+08,1.64E+08,7.19E+08,1.69E+08,7.33E+07,7.20E+07,7.51E+07,7.39E+07,7.33E+07,7.15E+07,
sp|O75947|ATP5H_HUMAN,O75947,ATP5H_HUMAN,ATP5PD,161,Homo sapiens OX=9606,1:Experimental evidence at protein level,"ATP synthase subunit d, mitochondrial",1,0.999,12,83,83,83,13,15,14,12,14,15,13,15,14,12,14,15,13,15,14,12,14,15,1.60E+09,1.58E+09,1.54E+09,1.63E+09,1.67E+09,1.55E+09,2.62E+08,2.65E+08,2.61E+08,2.64E+08,2.64E+08,2.55E+08,
sp|O75955|FLOT1_HUMAN,O75955,FLOT1_HUMAN,FLOT1,427,Homo sapiens OX=9606,1:Experimental evidence at protein level,Flotillin-1,1,0.999,6,31,31,31,3,4,6,6,6,6,3,4,6,6,6,6,3,4,6,6,6,6,1.82E+08,1.81E+08,1.78E+08,1.86E+08,1.90E+08,2.00E+08,4.39E+07,4.51E+07,4.40E+07,4.52E+07,4.68E+07,4.71E+07,
sp|O75962|TRIO_HUMAN,O75962,TRIO_HUMAN,TRIO,3097,Homo sapiens OX=9606,1:Experimental evidence at protein level,Triple functional domain protein,0.9999,0.9989,3,9,9,9,1,2,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,1,2.71E+07,2.69E+07,2.71E+07,2.77E+07,2.37E+07,4667530.5,2.21E+07,2.19E+07,2.25E+07,2.27E+07,2.18E+07,0,
sp|O75964|ATP5L_HUMAN,O75964,ATP5L_HUMAN,ATP5MG,103,Homo sapiens OX=9606,1:Experimental evidence at protein level,"ATP synthase subunit g, mitochondrial",1,0.999,4,37,37,37,4,8,5,7,7,6,4,8,5,7,7,6,4,8,5,7,7,6,1.04E+09,1.06E+09,1.09E+09,1.11E+09,1.05E+09,1.08E+09,4.42E+08,4.43E+08,4.54E+08,4.72E+08,4.38E+08,4.62E+08,
sp|O75976|CBPD_HUMAN,O75976,CBPD_HUMAN,CPD,1380,Homo sapiens OX=9606,1:Experimental evidence at protein level,Carboxypeptidase D,1,0.999,11,48,48,48,9,9,6,6,9,9,9,9,6,6,9,9,9,9,6,6,9,9,6.66E+08,7.57E+08,6.87E+08,7.21E+08,6.79E+08,7.19E+08,5.01E+08,4.96E+08,5.12E+08,5.67E+08,5.18E+08,5.35E+08,
sp|O76003|GLRX3_HUMAN,O76003,GLRX3_HUMAN,GLRX3,335,Homo sapiens OX=9606,1:Experimental evidence at protein level,Glutaredoxin-3,1,0.999,12,64,64,64,9,11,11,11,11,11,9,11,11,11,11,11,9,11,11,11,11,11,5.83E+08,5.64E+08,5.39E+08,5.62E+08,5.80E+08,5.79E+08,1.01E+08,1.04E+08,1.04E+08,1.04E+08,1.04E+08,1.06E+08,
sp|O76021|RL1D1_HUMAN,O76021,RL1D1_HUMAN,RSL1D1,490,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ribosomal L1 domain-containing protein 1,1,0.999,24,155,155,155,28,27,27,24,25,24,28,27,27,24,25,24,28,27,27,24,25,24,2.56E+09,2.07E+09,2.60E+09,2.63E+09,2.18E+09,2.10E+09,3.02E+08,3.08E+08,3.07E+08,3.09E+08,3.09E+08,3.05E+08,
sp|O76024|WFS1_HUMAN,O76024,WFS1_HUMAN,WFS1,890,Homo sapiens OX=9606,1:Experimental evidence at protein level,Wolframin,1,0.999,4,12,12,12,2,2,2,2,1,3,2,2,2,2,1,3,2,2,2,2,1,3,1.21E+07,1.48E+07,1.32E+07,1.97E+07,2.97E+07,3.31E+07,8184496.5,9938539,8911212,8910838,9239675,9762173,
sp|O76031|CLPX_HUMAN,O76031,CLPX_HUMAN,CLPX,633,Homo sapiens OX=9606,1:Experimental evidence at protein level,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",1,0.999,14,73,73,73,14,12,12,12,11,12,14,12,12,12,11,12,14,12,12,12,11,12,4.55E+08,4.34E+08,4.64E+08,4.70E+08,4.61E+08,4.42E+08,5.90E+07,6.08E+07,6.06E+07,5.89E+07,5.97E+07,6.02E+07,
sp|O76071|CIAO1_HUMAN,O76071,CIAO1_HUMAN,CIAO1,339,Homo sapiens OX=9606,1:Experimental evidence at protein level,Probable cytosolic iron-sulfur protein assembly protein CIAO1,1,0.999,4,14,14,14,2,2,4,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,7.94E+07,7.75E+07,8.11E+07,7.01E+07,8.25E+07,8.22E+07,2.81E+07,2.75E+07,2.80E+07,2.89E+07,2.90E+07,2.83E+07,
sp|O76094|SRP72_HUMAN,O76094,SRP72_HUMAN,SRP72,671,Homo sapiens OX=9606,1:Experimental evidence at protein level,Signal recognition particle subunit SRP72,1,0.999,15,68,68,68,12,11,13,11,12,9,12,11,13,11,12,9,12,11,13,11,12,9,5.07E+08,5.41E+08,5.24E+08,5.12E+08,4.37E+08,4.25E+08,6.96E+07,7.06E+07,7.07E+07,6.79E+07,7.03E+07,6.79E+07,
sp|O94761|RECQ4_HUMAN,O94761,RECQ4_HUMAN,RECQL4,1208,Homo sapiens OX=9606,1:Experimental evidence at protein level,ATP-dependent DNA helicase Q4,0.9791,0.9989,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1346765.2,1411290.2,1245651.4,1350388.9,1457717.8,1387314,0,0,0,0,0,0,
sp|O94763|RMP_HUMAN,O94763,RMP_HUMAN,URI1,535,Homo sapiens OX=9606,1:Experimental evidence at protein level,Unconventional prefoldin RPB5 interactor 1,0.9996,0.997,2,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,8724742,7487575.5,0,0,0,0,0,0,0,
sp|O94766|B3GA3_HUMAN,O94766,B3GA3_HUMAN,B3GAT3,335,Homo sapiens OX=9606,1:Experimental evidence at protein level,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,1,0.999,3,11,11,11,1,2,1,2,3,2,1,2,1,2,3,2,1,2,1,2,3,2,5.93E+07,5.15E+07,6.47E+07,5.12E+07,4.70E+07,5.36E+07,3.08E+07,2.78E+07,2.88E+07,2.75E+07,2.69E+07,2.83E+07,
sp|O94776|MTA2_HUMAN,O94776,MTA2_HUMAN,MTA2,668,Homo sapiens OX=9606,1:Experimental evidence at protein level,Metastasis-associated protein MTA2,1,0.999,20,81,65,81,13,12,15,13,14,14,10,10,12,11,11,11,13,12,15,13,14,14,7.83E+08,8.13E+08,7.87E+08,7.40E+08,7.86E+08,7.85E+08,8.06E+07,8.13E+07,8.18E+07,8.17E+07,7.99E+07,7.99E+07,
sp|O94808|GFPT2_HUMAN,O94808,GFPT2_HUMAN,GFPT2,682,Homo sapiens OX=9606,1:Experimental evidence at protein level,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,0.9997,0.999,4,11,11,18,2,2,2,2,2,1,2,2,2,2,2,1,3,3,3,4,3,2,2.40E+07,2.39E+07,2.18E+07,2.34E+07,2.43E+07,2.30E+07,1.29E+07,1.28E+07,1.17E+07,1.25E+07,1.31E+07,1.23E+07,
sp|O94818|NOL4_HUMAN,O94818,NOL4_HUMAN,NOL4,638,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nucleolar protein 4,0.8178,0.9891,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2548259,2780733.2,3251301,2725627,2868477.2,2859863.2,0,0,0,0,0,0,sp|Q96MY1|NOL4L_HUMAN
sp|O94822|LTN1_HUMAN,O94822,LTN1_HUMAN,LTN1,1766,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 ubiquitin-protein ligase listerin,1,0.999,5,18,18,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6.11E+07,6.10E+07,6.21E+07,6.88E+07,7.29E+07,7.25E+07,3.57E+07,3.59E+07,3.49E+07,4.02E+07,4.17E+07,4.20E+07,
sp|O94826|TOM70_HUMAN,O94826,TOM70_HUMAN,TOMM70,608,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitochondrial import receptor subunit TOM70,1,0.999,19,98,98,98,18,17,17,13,15,18,18,17,17,13,15,18,18,17,17,13,15,18,1.17E+09,1.15E+09,1.09E+09,1.19E+09,1.12E+09,1.25E+09,1.53E+08,1.53E+08,1.51E+08,1.56E+08,1.53E+08,1.56E+08,
sp|O94842|TOX4_HUMAN,O94842,TOX4_HUMAN,TOX4,621,Homo sapiens OX=9606,1:Experimental evidence at protein level,TOX high mobility group box family member 4,1,0.999,4,24,12,24,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,9.68E+07,8.94E+07,8.25E+07,9.17E+07,8.13E+07,8.37E+07,4.85E+07,4.55E+07,4.56E+07,4.52E+07,4.21E+07,4.63E+07,
sp|O94855|SC24D_HUMAN,O94855,SC24D_HUMAN,SEC24D,1032,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein transport protein Sec24D,1,0.999,4,12,12,16,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,1.14E+07,1.04E+07,1.05E+07,1.11E+07,1.02E+07,1.06E+07,9118881,7925291,8267517,8629353,8233922.5,7889535.5,
sp|O94874|UFL1_HUMAN,O94874,UFL1_HUMAN,UFL1,794,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 UFM1-protein ligase 1,1,0.999,12,55,55,55,11,9,9,11,8,7,11,9,9,11,8,7,11,9,9,11,8,7,1.73E+08,1.23E+08,1.88E+08,1.62E+08,1.27E+08,1.65E+08,3.56E+07,3.55E+07,3.72E+07,3.57E+07,3.72E+07,3.86E+07,
sp|O94880|PHF14_HUMAN,O94880,PHF14_HUMAN,PHF14,888,Homo sapiens OX=9606,1:Experimental evidence at protein level,PHD finger protein 14,1,0.999,3,10,10,10,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,3.83E+07,3.80E+07,3.72E+07,4.03E+07,3.73E+07,3.86E+07,2.21E+07,2.21E+07,2.16E+07,2.38E+07,2.15E+07,2.25E+07,
sp|O94888|UBXN7_HUMAN,O94888,UBXN7_HUMAN,UBXN7,489,Homo sapiens OX=9606,1:Experimental evidence at protein level,UBX domain-containing protein 7,1,0.999,2,9,9,9,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,3.72E+07,3.27E+07,3.69E+07,4.30E+07,4.59E+07,2.57E+07,3.46E+07,0,3.40E+07,3.67E+07,4.08E+07,2.92E+07,
sp|O94901|SUN1_HUMAN,O94901,SUN1_HUMAN,SUN1,785,Homo sapiens OX=9606,1:Experimental evidence at protein level,SUN domain-containing protein 1,1,0.999,6,22,22,22,3,3,3,5,3,5,3,3,3,5,3,5,3,3,3,5,3,5,1.15E+08,1.01E+08,1.29E+08,1.29E+08,1.36E+08,1.38E+08,3.56E+07,3.30E+07,3.49E+07,3.68E+07,3.77E+07,3.69E+07,
sp|O94903|PLPHP_HUMAN,O94903,PLPHP_HUMAN,PLPBP,275,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pyridoxal phosphate homeostasis protein,0.9342,0.9965,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.24E+07,0,3.45E+07,0,0,0,0,0,0,0,0,0,
sp|O94905|ERLN2_HUMAN,O94905,ERLN2_HUMAN,ERLIN2,339,Homo sapiens OX=9606,1:Experimental evidence at protein level,Erlin-2,1,0.999,9,47,35,47,7,9,9,7,8,7,5,7,6,5,6,6,7,9,9,7,8,7,5.39E+08,5.33E+08,5.33E+08,5.15E+08,5.05E+08,5.24E+08,2.51E+08,2.58E+08,2.56E+08,2.40E+08,2.43E+08,2.35E+08,
sp|O94906|PRP6_HUMAN,O94906,PRP6_HUMAN,PRPF6,941,Homo sapiens OX=9606,1:Experimental evidence at protein level,Pre-mRNA-processing factor 6,1,0.999,27,119,119,119,21,19,19,21,17,22,21,19,19,21,17,22,21,19,19,21,17,22,1.07E+09,9.26E+08,9.54E+08,1.09E+09,1.08E+09,1.00E+09,1.15E+08,1.14E+08,1.13E+08,1.14E+08,1.14E+08,1.14E+08,
sp|O94915|FRYL_HUMAN,O94915,FRYL_HUMAN,FRYL,3013,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein furry homolog-like,0.9731,0.9986,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1305041.8,0,0,0,0,0,0,0,0,0,
sp|O94925|GLSK_HUMAN,O94925,GLSK_HUMAN,GLS,669,Homo sapiens OX=9606,1:Experimental evidence at protein level,"Glutaminase kidney isoform, mitochondrial",1,0.999,18,112,112,112,20,18,19,17,19,19,20,18,19,17,19,19,20,18,19,17,19,19,1.64E+09,1.78E+09,1.71E+09,1.72E+09,1.51E+09,1.66E+09,4.03E+08,4.04E+08,3.97E+08,3.87E+08,3.93E+08,3.84E+08,
sp|O94952|FBX21_HUMAN,O94952,FBX21_HUMAN,FBXO21,628,Homo sapiens OX=9606,2:Experimental evidence at transcript level,F-box only protein 21,0.9801,0.999,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2567344.2,819653.06,2011785.9,2192754.8,751913.94,2556213,0,0,0,0,0,0,
sp|O94973|AP2A2_HUMAN,O94973,AP2A2_HUMAN,AP2A2,939,Homo sapiens OX=9606,1:Experimental evidence at protein level,AP-2 complex subunit alpha-2,1,0.999,18,86,59,86,15,15,15,13,13,15,9,10,11,10,9,10,15,15,15,13,13,15,5.56E+08,5.69E+08,4.82E+08,5.13E+08,4.99E+08,5.46E+08,1.43E+08,1.51E+08,1.46E+08,1.45E+08,1.44E+08,1.40E+08,
sp|O94979|SC31A_HUMAN,O94979,SC31A_HUMAN,SEC31A,1220,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein transport protein Sec31A,1,0.999,14,65,65,65,11,10,11,10,12,11,11,10,11,10,12,11,11,10,11,10,12,11,4.72E+08,4.08E+08,4.58E+08,5.12E+08,4.70E+08,4.14E+08,6.30E+07,6.21E+07,6.36E+07,6.36E+07,6.50E+07,6.39E+07,
sp|O94992|HEXI1_HUMAN,O94992,HEXI1_HUMAN,HEXIM1,359,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein HEXIM1,1,0.999,4,30,24,30,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,2.63E+08,2.66E+08,2.68E+08,2.69E+08,2.45E+08,2.55E+08,9.62E+07,9.78E+07,9.93E+07,1.00E+08,9.34E+07,9.42E+07,
sp|O95059|RPP14_HUMAN,O95059,RPP14_HUMAN,RPP14,124,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ribonuclease P protein subunit p14,1,0.9988,1,10,10,10,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,5933916,5938584,5581253.5,5114590,5687907.5,6020848.5,4448970,4418189.5,4059526.5,3751442.8,4199638.5,4449315,
sp|O95070|YIF1A_HUMAN,O95070,YIF1A_HUMAN,YIF1A,293,Homo sapiens OX=9606,1:Experimental evidence at protein level,Protein YIF1A,1,0.999,2,11,11,11,3,2,2,1,2,1,3,2,2,1,2,1,3,2,2,1,2,1,7.03E+07,5.07E+07,6.17E+07,6.94E+07,7.71E+07,5.60E+07,5.71E+07,0,0,0,6.79E+07,0,
sp|O95071|UBR5_HUMAN,O95071,UBR5_HUMAN,UBR5,2799,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 ubiquitin-protein ligase UBR5,1,0.999,15,48,48,48,4,7,12,8,8,9,4,7,12,8,8,9,4,7,12,8,8,9,8.31E+07,1.60E+08,1.51E+08,1.09E+08,1.73E+08,1.66E+08,3.27E+07,3.11E+07,3.31E+07,3.28E+07,3.39E+07,3.16E+07,
sp|O95084|PRS23_HUMAN,O95084,PRS23_HUMAN,PRSS23,383,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine protease 23,0.8369,0.9905,1,5,5,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1576439.1,1533139.2,2049741.2,1608826.1,1411927.8,1644353.8,0,0,0,0,0,0,
sp|O95104|SCAF4_HUMAN,O95104,SCAF4_HUMAN,SCAF4,1147,Homo sapiens OX=9606,1:Experimental evidence at protein level,SR-related and CTD-associated factor 4,1,0.999,4,17,11,17,3,3,3,3,2,3,2,2,2,2,1,2,3,3,3,3,2,3,2.54E+08,1.84E+08,2.44E+08,1.76E+08,1.78E+08,2.56E+08,1.57E+08,1.50E+08,1.53E+08,1.47E+08,1.47E+08,1.60E+08,
sp|O95139|NDUB6_HUMAN,O95139,NDUB6_HUMAN,NDUFB6,128,Homo sapiens OX=9606,1:Experimental evidence at protein level,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,0.9989,0.978,3,10,10,10,4,1,1,1,2,1,4,1,1,1,2,1,4,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|O95140|MFN2_HUMAN,O95140,MFN2_HUMAN,MFN2,757,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitofusin-2,1,0.999,3,15,15,15,2,4,3,3,1,2,2,4,3,3,1,2,2,4,3,3,1,2,2124585.5,4.91E+07,3.72E+07,8.22E+07,7.43E+07,2935499,0,3.53E+07,4.30E+07,4.33E+07,4.15E+07,0,
sp|O95155|UBE4B_HUMAN,O95155,UBE4B_HUMAN,UBE4B,1302,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin conjugation factor E4 B,0.9987,0.9978,2,2,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,482432.53,0,0,0,0,0,0,0,0,
sp|O95159|ZFPL1_HUMAN,O95159,ZFPL1_HUMAN,ZFPL1,310,Homo sapiens OX=9606,1:Experimental evidence at protein level,Zinc finger protein-like 1,1,0.999,2,11,11,11,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,9.13E+07,9.17E+07,9.47E+07,9.72E+07,9.06E+07,9.36E+07,4.71E+07,4.73E+07,4.89E+07,5.02E+07,4.68E+07,4.84E+07,
sp|O95163|ELP1_HUMAN,O95163,ELP1_HUMAN,ELP1,1332,Homo sapiens OX=9606,1:Experimental evidence at protein level,Elongator complex protein 1,1,0.999,6,16,16,16,2,4,2,3,2,3,2,4,2,3,2,3,2,4,2,3,2,3,7.29E+07,7.39E+07,6.97E+07,7.21E+07,4.36E+07,6.47E+07,2.46E+07,2.45E+07,2.31E+07,2.38E+07,2.27E+07,2.29E+07,
sp|O95167|NDUA3_HUMAN,O95167,NDUA3_HUMAN,NDUFA3,84,Homo sapiens OX=9606,1:Experimental evidence at protein level,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,0.9744,0.9987,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.11E+07,2.26E+07,2.31E+07,2.02E+07,2.48E+07,0,0,0,0,0,0,0,
sp|O95168|NDUB4_HUMAN,O95168,NDUB4_HUMAN,NDUFB4,129,Homo sapiens OX=9606,1:Experimental evidence at protein level,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,1,0.999,4,26,26,26,5,5,4,3,4,5,5,5,4,3,4,5,5,5,4,3,4,5,3.38E+08,2.51E+08,2.59E+08,2.15E+08,2.47E+08,2.56E+08,1.37E+08,1.30E+08,1.28E+08,1.35E+08,1.29E+08,1.31E+08,
sp|O95169|NDUB8_HUMAN,O95169,NDUB8_HUMAN,NDUFB8,186,Homo sapiens OX=9606,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",1,0.9989,2,7,7,7,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,3.61E+07,3.49E+07,3.52E+07,3.45E+07,3.64E+07,3.71E+07,2.33E+07,2.34E+07,2.38E+07,2.27E+07,2.39E+07,2.47E+07,
sp|O95182|NDUA7_HUMAN,O95182,NDUA7_HUMAN,NDUFA7,113,Homo sapiens OX=9606,1:Experimental evidence at protein level,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,1,0.999,6,32,32,32,5,6,6,5,4,6,5,6,6,5,4,6,5,6,6,5,4,6,2.08E+08,2.14E+08,2.01E+08,1.92E+08,1.94E+08,2.17E+08,5.89E+07,5.91E+07,5.71E+07,6.18E+07,6.08E+07,6.09E+07,
sp|O95197|RTN3_HUMAN,O95197,RTN3_HUMAN,RTN3,1032,Homo sapiens OX=9606,1:Experimental evidence at protein level,Reticulon-3,1,0.999,3,14,8,14,3,2,2,2,2,3,2,1,1,1,1,2,3,2,2,2,2,3,4.42E+08,4.38E+08,4.37E+08,4.12E+08,4.09E+08,4.42E+08,2.57E+08,2.54E+08,2.55E+08,2.62E+08,2.57E+08,2.63E+08,
sp|O95202|LETM1_HUMAN,O95202,LETM1_HUMAN,LETM1,739,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitochondrial proton/calcium exchanger protein,1,0.999,16,85,85,85,16,13,15,15,13,13,16,13,15,15,13,13,16,13,15,15,13,13,5.99E+08,5.96E+08,6.33E+08,6.23E+08,5.95E+08,6.14E+08,1.06E+08,1.04E+08,1.05E+08,1.04E+08,1.03E+08,1.06E+08,
sp|O95208|EPN2_HUMAN,O95208,EPN2_HUMAN,EPN2,641,Homo sapiens OX=9606,1:Experimental evidence at protein level,Epsin-2,0.9999,0.9988,2,10,6,10,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2.85E+07,2.98E+07,3.14E+07,2.73E+07,3.12E+07,3.08E+07,2.66E+07,2.82E+07,2.88E+07,0,2.67E+07,2.76E+07,
sp|O95218|ZRAB2_HUMAN,O95218,ZRAB2_HUMAN,ZRANB2,330,Homo sapiens OX=9606,1:Experimental evidence at protein level,Zinc finger Ran-binding domain-containing protein 2,1,0.999,6,21,21,21,4,4,3,4,2,4,4,4,3,4,2,4,4,4,3,4,2,4,1.13E+08,1.39E+08,2.13E+08,1.76E+08,1.04E+08,2.06E+08,6.10E+07,6.25E+07,6.19E+07,6.09E+07,5.53E+07,5.84E+07,
sp|O95219|SNX4_HUMAN,O95219,SNX4_HUMAN,SNX4,450,Homo sapiens OX=9606,1:Experimental evidence at protein level,Sorting nexin-4,0.979,0.9989,1,2,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|O95232|LC7L3_HUMAN,O95232,LC7L3_HUMAN,LUC7L3,432,Homo sapiens OX=9606,1:Experimental evidence at protein level,Luc7-like protein 3,1,0.999,8,37,37,37,5,6,6,5,7,8,5,6,6,5,7,8,5,6,6,5,7,8,1.93E+08,2.70E+08,2.75E+08,3.73E+08,2.53E+08,2.95E+08,7.09E+07,7.24E+07,7.43E+07,7.66E+07,7.02E+07,7.17E+07,
sp|O95239|KIF4A_HUMAN,O95239,KIF4A_HUMAN,KIF4A,1232,Homo sapiens OX=9606,1:Experimental evidence at protein level,Chromosome-associated kinesin KIF4A,1,0.999,11,36,19,36,7,4,8,5,5,7,4,2,5,3,2,3,7,4,8,5,5,7,1.38E+08,1.39E+08,1.66E+08,1.37E+08,1.65E+08,9.71E+07,2.21E+07,2.17E+07,2.33E+07,2.43E+07,2.39E+07,2.42E+07,
sp|O95249|GOSR1_HUMAN,O95249,GOSR1_HUMAN,GOSR1,250,Homo sapiens OX=9606,1:Experimental evidence at protein level,Golgi SNAP receptor complex member 1,1,0.999,6,20,20,20,4,3,3,4,2,4,4,3,3,4,2,4,4,3,3,4,2,4,1.64E+08,1.87E+08,2.01E+08,2.00E+08,2.07E+08,1.91E+08,1.01E+08,1.02E+08,1.01E+08,1.09E+08,1.09E+08,1.07E+08,
sp|O95251|KAT7_HUMAN,O95251,KAT7_HUMAN,KAT7,611,Homo sapiens OX=9606,1:Experimental evidence at protein level,Histone acetyltransferase KAT7,1,0.9988,2,5,5,5,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2.32E+07,2.22E+07,2.24E+07,2.19E+07,2.39E+07,2.15E+07,1.85E+07,1.76E+07,1.79E+07,1.74E+07,1.83E+07,1.67E+07,
sp|O95260|ATE1_HUMAN,O95260,ATE1_HUMAN,ATE1,518,Homo sapiens OX=9606,1:Experimental evidence at protein level,Arginyl-tRNA--protein transferase 1,0.9798,0.999,1,4,4,4,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,4566754,4204170,4107701,3958502.5,3742472.8,4303919,0,0,0,0,0,0,
sp|O95292|VAPB_HUMAN,O95292,VAPB_HUMAN,VAPB,243,Homo sapiens OX=9606,1:Experimental evidence at protein level,Vesicle-associated membrane protein-associated protein B/C,1,0.999,9,43,43,49,8,7,6,8,8,6,8,7,6,8,8,6,9,8,7,9,9,7,8.00E+08,8.10E+08,6.30E+08,7.84E+08,6.74E+08,7.94E+08,2.02E+08,2.09E+08,2.04E+08,2.05E+08,2.18E+08,2.09E+08,
sp|O95298|NDUC2_HUMAN,O95298,NDUC2_HUMAN,NDUFC2,119,Homo sapiens OX=9606,1:Experimental evidence at protein level,NADH dehydrogenase [ubiquinone] 1 subunit C2,0.9999,0.9989,2,13,13,13,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,1.51E+08,1.52E+08,1.40E+08,1.38E+08,1.32E+08,1.36E+08,9.30E+07,9.56E+07,8.71E+07,8.72E+07,8.15E+07,8.50E+07,
